Gb maj9,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.5,0.0
C m7,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
Db dim,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0
B m7,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0
C m7b5,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
Db m6,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0
B minor,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0
G 7+,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
F aug,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
B aug,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0
Bb sus2,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0
Gb 7+,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0
F 7,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
F minor,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0
Eb 5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Bb minor,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0
D 7,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
C 7,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0
B 7+,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0
A 7+,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0
B 5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0
Eb m7#5,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
Gb 5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bb 7b9,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5
Ab major,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ab m9,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.5
Db add9,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
F m7b9,0.5,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0
B dim,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0
Db major,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
Gb 9,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0
